recipeID,name,category,directions,numberOfServings,author
1,Chicken Makhani,Entree,"*Notes - 3 or 4 chicken breasts is all you need.  A double batch of sauce is a good amount.  Start the naan first, let rise on the cookie sheets while you do the rest.  A double batch of naan is too much, one batch is not enough so make two.  After the naan, make the tandoori chicken.  Once the chicken is in the oven, start the rice.  Once the chicken is out of the oven start the naan while you make the makhani sauce, it takes a while to make all those little naans.  Using fresh cilantro, ginger and chiles makes a BIG difference.

1.  In a small, ungreased skillet, dry-roast the cumin seeds over medium heat, stirring until they turn a shade darker.  Use a mortar and pestle, or a spice mill, to grind the seeds finely.

2.  In a bowl, combine the tomato sauce, ginger, heavy cream, garam masala, salt, green chile, cayenne, cilantro, lemon juice and roasted cumin seeds.  

3.  In a large skilet, melt the butter.  Add the ingredients from the mixing bowl to the hot butter, bring to a simmer and cook over medium heat for 1 minute.  

4.  Add the grilled Tandoori-Style chicken pieces, stirring once to coat and briefly rewarm them.

5.  Transfer the coated chicken to a warm serving platter and spoon additional sauce evenly over the top.  Garnish with cilantro sprigs and serve immediately.",4 servings,
2,Tandoori Chicken,Entree,"Preheat the oven to 350 degrees

Place all the ingredients except the chicken into a bowl, making sure to mix well.  Coat the chicken with the mixture and then placing on a baking sheet that has been coated with non-stick spray.

Bake for 45-50 minutes or until the juices run clear.",,
3,Taco Seasoning,Sauce,"1.  Combine all of the ingredients in a small bowl.

In a large skillet, brown 1 pound ground beeg until crumbly; drain fat.  Add spices & seasonings and 2/3 cup of water; mix thoroughly.  Bring to a boil.  Reduce heat to low and cook, uncovered, 7 to 10 minutes, stirring occasionally.",,
4,Indian Naan,Bread,"1.  Whisk the warm milk/water with the yeast and sugar until the yeast is dissolved.  Cover and let stand in a warm place for 10 minutes.

2.  Sift flour and salt three times into a large bowl add the yeast mixture, half of the ghee and the yogurt.  Mix into a soft dough then knead on a floured surface for about 5 minutes or until dough is smooth and elastic.  Place the dough in a large greased bowl, cover and let stand in a warm place for 1 1/2 hours or until the dough is doubled in size.

3.  Punch down dough then knead for 5 minutes.  Divide dough into 6 pieces.  Roll each piece out into 8 inch round naans.  

4.  Cover an oven tray with foil and grease the foil.  Brush tha naan with a little of the remaining ghee and sprinkle with some of the kalonji.  Cook naan one at a time under a very hot grill (450 degree convection roast) for about 2 minutes on each side or until puffed and just browned.",6 pieces of naan,
5,Garam Masala,Miscellaneous,In a heavy-bottomed pan fry all the ingredients for 5 minutes over medium heat.  Remove from heat.  Grind all the roasted ingredients together to a powder.  Store in an airtight container.,,
6,Mango Lassi,Miscellaneous,Blend all the ingredients in an electric blender.  Serve cold.,,
7,Shrimp Biryani,Entree,"Soak rice in cold water for 20 minutes.

Preheat the oven to 300 degrees.

Grind the ginger, garlic, green chiles, garam masala, cashew nuts and coconut to make a paste.

Heat 3 tablespoons of ghee in a pan and add half of the onions and fry until golden brown.  Add the ground paste and stir fry for about 5 minutes.  Add the shrimp and 1/2 tsp salt.  Mix well untill all the shrimps are coated with masala and cook for 5 minutes over low heat.  Remove from heat and set aside.  Take another pan and heat 2 tbl ghee and fry the bay leaves and the rest of the onions and fry until the onions are golden brown.  Add the rice and stir fry until the rice becomes translucent (about 10 minutes).  Add the 1/2 tsp salt and 2 cups of water.  Cover the pan and cook over low heat for 15 minutes or until the rice is almost done.  

Mix the rice and shrimp together and transfer it to a casserole.  Cover with aluminum foil and bake for 10-15 minutes at 300 degrees.  Sprinkle with lime juice and garnish with fried cashews and raisins.",,
8,Creme Brulee,Dessert,"Preheat the oven to 300F.  In a heavy medium saucepan, combine the cream,  vanilla bean and salt.  Warm over moderate heat until the surface begins to shimmer, about 5 minutes.  In a large bowl, stir the egg yolks and sugar until blended.  Pour in the hot cream and stir gently to avoid forming air bubbles.  Strain the custard into a large measuring glass and skim off and surface air bubbles.  (Rinse the vanilla bean and reserve for future use.) Place 8 3/4-cup ramekins in a roasting pan.  Pour the custard into the ramekins, filling them up to the rim.  Place the roasting pan in the oven and pour in enough warm water to reach halfway up the sides of the ramekins.  Cover loosely with foil and bake for 1 1/4 hours, or until the custard is firm around the edges.  (It may still be wobbly in the center but it will firm up as it chills.) Remove the ramekins from the water bath and let cool. 
 
Cover and refrigerate until cold, at least 3 hours.  (The custards can be prepared to this point up to 2 days ahead.  If small pools of liquid develop on the surfaces, blot with a paper towel before proceeding.) Preheat the broiler or a salamander.  Set the ramekins on a baking sheet.  Sieve 1 tablespoon of brown sugar over the top of each custard in a thin layer.  Using a spatula or knife, spread the sugar evenly.  Broil the custards as close to the heat as possible until the sugar is caramelized, 30 seconds to 2 minutes; watch carefully.  Let cool and serve immediately or refrigerate for up to 4 hours.",8 3/4 cup servings,Michelle Higgins
12,Turkey Tetrazzini With Almonds,Entree,"In a saucepan, over medium heat, combine cornstarch, milk, water, bullion cubes, salt, garlic powder, and pepper.  Bring the mixture to a boil, stirring constantly.  Remove from heat and stir in grated parmesan cheese, mushrooms, noodles and turkey.  Coat a 9"" casserole dish with vegetable cooking spray.  Spoon the turkey mixture into the dish and top with sliced almonds and bread crumbs.  Bake at 375 degrees for 25 minutes or until the mixture bubbles and the top is browned. Cook the noodles before baking!!!!",6,
13,Turkey Soup Continental,Soup,"In a large kettle saute finely chopped onions in melted butter.  Add chopped turkey, diced potatoes, diced celery, and chicken broth.  Simmer until the vegetables are tender-crisp.  

Add corn, half and half, salt, paprika, ginger, pepper and chopped parsley.  Heat through, stirring occasionally",6,Michelle Higgins
